3.07399
Dad, Mom, Heather, Nick, Rulon, George, Olivia, Thomas
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, Bathtub, 
Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, 
Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, 
Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, 
Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, 
Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, 
Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, 
Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, 
Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, 
Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, 
Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, Meeting, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
Sink1, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
None, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
None, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
None, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
None, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
None, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
None, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
None, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
None, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
None, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
None, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 
None, Sink2, Meeting, Meeting, Meeting, Meeting, Meeting, Bathtub, 

